2 5e-06
3 7e-06
4 6e-06
5 8e-06
6 8e-06
7 1.2e-05
8 1.3e-05
9 1.8e-05
10 2.1e-05
11 3e-05
12 3.9e-05
13 5e-05
14 6.7e-05
15 9.1e-05
16 0.00012
17 0.000156
18 0.000205
19 0.000263
20 0.000335
21 0.000435
22 0.000548
23 0.000686
24 0.000868
25 0.001083
26 0.001369
27 0.00166
28 0.002062
29 0.002508
30 0.003094
31 0.003737
32 0.004521
33 0.005868
34 0.006652
35 0.008013
36 0.009666
37 0.011435
38 0.013638
39 0.016456
40 0.01931
41 0.022929
42 0.027084
43 0.032118
44 0.03742
45 0.044281
46 0.051807
47 0.06085
48 0.070991
49 0.082502
50 0.096115
51 0.110783
52 0.129404
53 0.148924
54 0.172356
55 0.199155
56 0.229845
57 0.263916
58 0.305561
59 0.349101
60 0.400655
61 0.459528
62 0.524235
63 0.599929
64 0.68434
65 0.781038
66 0.88541
67 1.00909
68 1.15024
69 1.30399
70 1.47342
71 1.66872
72 1.89097
73 2.1345
74 2.40786
75 2.71659
76 3.06221
77 3.45067
78 3.88516
79 4.36654
80 4.90881
81 5.51053
82 6.18478
83 6.93607
84 7.7575
85 8.67375
86 9.70364
87 10.9099
88 12.1267
89 13.5439
90 15.1865
91 16.8361
92 18.7943
93 20.905
94 23.2542
95 25.8525
96 28.7306
97 31.8817
98 35.3708
99 39.8952
100 43.6037
